date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:22:48	169/169	---M--	200	added ('OK')	text/plain	etag:%22e788eb5-a9-5341f493e3f40%22	http://www.kingspec.com.cn/robots.txt		(from )
15:22:52	54005/54005	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Nov%202016%2006:23:01%20GMT	http://www.kingspec.com.cn/	C:/My%20Web%20Sites/kingpsecen/ENKINGFAST/www.kingspec.com.cn/index.html	(from )
15:22:54	66158/66158	---M--	200	added ('OK')	text/css	etag:%22f9b4f19-1026e-53e78812f4bad%22	http://www.kingspec.com.cn/styles/lib.min.css?t=1476062166881.css	C:/My%20Web%20Sites/kingpsecen/ENKINGFAST/www.kingspec.com.cn/styles/lib.min9eae.css	(from http://www.kingspec.com.cn/)
15:22:58	45420/45420	---M--	200	added ('OK')	text/css	etag:%2289ff01e-b16c-53e788062df55%22	http://www.kingspec.com.cn/styles/myCss.css	C:/My%20Web%20Sites/kingpsecen/ENKINGFAST/www.kingspec.com.cn/styles/myCss.css	(from http://www.kingspec.com.cn/)
15:22:58	189280/189280	---M--	200	added ('OK')	text/css	etag:%22f9b4f22-2e360-53e788146c6d9%22	http://www.kingspec.com.cn/styles/page_index.min.css?t=1476062166881.css	C:/My%20Web%20Sites/kingpsecen/ENKINGFAST/www.kingspec.com.cn/styles/page_index.min9eae.css	(from http://www.kingspec.com.cn/)
15:23:00	976/976	---M--	200	added ('OK')	text/css	etag:%2215dc07ec-3d0-53e7880b27f13%22	http://www.kingspec.com.cn/styles/demo.css	C:/My%20Web%20Sites/kingpsecen/ENKINGFAST/www.kingspec.com.cn/styles/demo.css	(from http://www.kingspec.com.cn/)
15:23:00	99100/99100	---M--	200	added ('OK')	text/css	etag:%22d9cec28-1831c-53e7880942e5b%22	http://www.kingspec.com.cn/styles/bootstrap.min.css	C:/My%20Web%20Sites/kingpsecen/ENKINGFAST/www.kingspec.com.cn/styles/bootstrap.min.css	(from http://www.kingspec.com.cn/)
15:23:01	8376/8376	---M--	200	added ('OK')	text/css	etag:%2215dc07ed-20b8-53e7880a32dbf%22	http://www.kingspec.com.cn/styles/fakeloader.css	C:/My%20Web%20Sites/kingpsecen/ENKINGFAST/www.kingspec.com.cn/styles/fakeloader.css	(from http://www.kingspec.com.cn/)
15:23:04	71089/71089	---M--	200	added ('OK')	text/css	etag:%22d9cec27-115b1-53e78808ce770%22	http://www.kingspec.com.cn/styles/animate.css	C:/My%20Web%20Sites/kingpsecen/ENKINGFAST/www.kingspec.com.cn/styles/animate.css	(from http://www.kingspec.com.cn/)
15:23:06	7057/7057	---M--	200	added ('OK')	application/javascript	etag:%22dd3b6ed-1b91-5341f46fa69c0%22	http://www.kingspec.com.cn/styles/wow.min.js	C:/My%20Web%20Sites/kingpsecen/ENKINGFAST/www.kingspec.com.cn/styles/wow.min.js	(from http://www.kingspec.com.cn/)
